,year,month,djia_monthly_mean,yearmonth_str
82,1903,11,54.15,1903-11
83,1903,12,57.06,1903-12
84,1904,01,59.94,1904-01
85,1904,02,59.14,1904-02
86,1904,03,60.27,1904-03
87,1904,04,65.06,1904-04
88,1904,05,71.78,1904-05
89,1904,06,72.25,1904-06
90,1904,07,70.13,1904-07
91,1904,08,68.1,1904-08
92,1904,09,68.37,1904-09
93,1904,10,64.4,1904-10
94,1904,11,68.47,1904-11
95,1904,12,69.62,1904-12
96,1905,01,69.23,1905-01
97,1905,02,69.62,1905-02
98,1905,03,69.17,1905-03
99,1905,04,67.07,1905-04
100,1905,05,60.33,1905-05
101,1905,06,61.28,1905-06
102,1905,07,57.89,1905-07
103,1905,08,59.17,1905-08
104,1905,09,53.42,1905-09
105,1905,10,50.72,1905-10
106,1905,11,42.72,1905-11
107,1905,12,41.98,1905-12
108,1906,01,45.36,1906-01
109,1906,02,44.21,1906-02
110,1906,03,48.87,1906-03
111,1906,04,51.68,1906-04
112,1906,05,53.53,1906-05
113,1906,06,55.85,1906-06
114,1906,07,60.84,1906-07
115,1906,08,58.99,1906-08
116,1906,09,61.89,1906-09
117,1906,10,63.19,1906-10
118,1906,11,62.52,1906-11
119,1906,12,61.07,1906-12
120,1907,01,62.52,1907-01
121,1907,02,65.85,1907-02
122,1907,03,67.73,1907-03
123,1907,04,69.43,1907-04
124,1907,05,71.7,1907-05
125,1907,06,72.45,1907-06
126,1907,07,72.25,1907-07
127,1907,08,72.04,1907-08
128,1907,09,67.35,1907-09
129,1907,10,67.37,1907-10
130,1907,11,66.18,1907-11
131,1907,12,63.88,1907-12
132,1908,01,60.87,1908-01
133,1908,02,57.56,1908-02
134,1908,03,57.93,1908-03
135,1908,04,60.81,1908-04
136,1908,05,61.38,1908-05
137,1908,06,59.88,1908-06
138,1908,07,62.13,1908-07
139,1908,08,61.13,1908-08
140,1908,09,60.67,1908-09
141,1908,10,62.61,1908-10
142,1908,11,63.19,1908-11
143,1908,12,60.74,1908-12
144,1909,01,56.7,1909-01
145,1909,02,56.6,1909-02
146,1909,03,59.02,1909-03
147,1909,04,60.01,1909-04
148,1909,05,59.32,1909-05
149,1909,06,62.87,1909-06
150,1909,07,65.56,1909-07
151,1909,08,65.78,1909-08
152,1909,09,65.8,1909-09
153,1909,10,66.43,1909-10
154,1909,11,67.55,1909-11
155,1909,12,67.27,1909-12
156,1910,01,64.9,1910-01
157,1910,02,63.09,1910-02
158,1910,03,59.86,1910-03
159,1910,04,59.1,1910-04
160,1910,05,58.54,1910-05
161,1910,06,55.88,1910-06
162,1910,07,56.13,1910-07
163,1910,08,58.75,1910-08
164,1910,09,59.5,1910-09
165,1910,10,56.93,1910-10
166,1910,11,56.19,1910-11
167,1910,12,59.22,1910-12
168,1911,01,60.15,1911-01
169,1911,02,60.0,1911-02
170,1911,03,58.46,1911-03
171,1911,04,59.43,1911-04
172,1911,05,58.12,1911-05
173,1911,06,56.07,1911-06
174,1911,07,56.27,1911-07
175,1911,08,58.89,1911-08
176,1911,09,67.3,1911-09
177,1911,10,67.21,1911-10
178,1911,11,70.98,1911-11
179,1911,12,78.7,1911-12
180,1912,01,85.34,1912-01
181,1912,02,94.19,1912-02
182,1912,03,96.68,1912-03
183,1912,04,96.4,1912-04
184,1912,05,93.44,1912-05
185,1912,06,93.94,1912-06
186,1912,07,89.95,1912-07
187,1912,08,91.84,1912-08
188,1912,09,88.58,1912-09
189,1912,10,91.15,1912-10
190,1912,11,99.92,1912-11
191,1912,12,104.87,1912-12
192,1913,01,103.47,1913-01
193,1913,02,96.49,1913-02
194,1913,03,92.61,1913-03
195,1913,04,95.54,1913-04
196,1913,05,91.54,1913-05
197,1913,06,96.93,1913-06
198,1913,07,92.86,1913-07
199,1913,08,88.25,1913-08
200,1913,09,81.74,1913-09
201,1913,10,73.35,1913-10
202,1913,11,70.42,1913-11
203,1913,12,76.35,1913-12
204,1914,01,79.52,1914-01
205,1914,02,77.28,1914-02
206,1914,03,80.44,1914-03
207,1914,04,81.11,1914-04
208,1914,05,81.41,1914-05
209,1914,06,82.15,1914-06
210,1914,07,85.22,1914-07
211,1914,08,84.33,1914-08
212,1914,09,82.45,1914-09
213,1914,10,80.94,1914-10
214,1914,11,86.44,1914-11
215,1914,12,91.13,1914-12
216,1915,01,102.02,1915-01
217,1915,02,107.35,1915-02
218,1915,03,105.02,1915-03
219,1915,04,107.51,1915-04
220,1915,05,114.91,1915-05
221,1915,06,106.99,1915-06
222,1915,07,104.87,1915-07
223,1915,08,95.98,1915-08
224,1915,09,101.33,1915-09
225,1915,10,96.8,1915-10
226,1915,11,90.9,1915-11
227,1915,12,90.73,1915-12
228,1916,01,85.73,1916-01
229,1916,02,86.29,1916-02
230,1916,03,82.61,1916-03
231,1916,04,73.46,1916-04
232,1916,05,74.19,1916-05
233,1916,06,75.34,1916-06
234,1916,07,75.74,1916-07
235,1916,08,77.89,1916-08
236,1916,09,69.94,1916-09
237,1916,10,68.68,1916-10
238,1916,11,67.12,1916-11
239,1916,12,70.6,1916-12
240,1917,01,74.92,1917-01
241,1917,02,79.8,1917-02
242,1917,03,81.43,1917-03
243,1917,04,85.64,1917-04
244,1917,05,90.11,1917-05
245,1917,06,93.41,1917-06
246,1917,07,93.43,1917-07
247,1917,08,95.93,1917-08
248,1917,09,100.03,1917-09
249,1917,10,100.05,1917-10
250,1917,11,96.26,1917-11
251,1917,12,97.78,1917-12
252,1918,01,98.9,1918-01
253,1918,02,104.17,1918-02
254,1918,03,102.14,1918-03
255,1918,04,96.37,1918-04
256,1918,05,92.46,1918-05
257,1918,06,89.3,1918-06
258,1918,07,91.56,1918-07
259,1918,08,87.79,1918-08
260,1918,09,91.22,1918-09
261,1918,10,95.12,1918-10
262,1918,11,98.9,1918-11
263,1918,12,96.9,1918-12
264,1919,01,91.77,1919-01
265,1919,02,90.26,1919-02
266,1919,03,94.76,1919-03
267,1919,04,101.28,1919-04
268,1919,05,103.14,1919-05
269,1919,06,102.23,1919-06
270,1919,07,108.95,1919-07
271,1919,08,118.2,1919-08
272,1919,09,121.54,1919-09
273,1919,10,121.08,1919-10
274,1919,11,120.3,1919-11
275,1919,12,127.55,1919-12
276,1920,01,130.9,1920-01
277,1920,02,137.5,1920-02
278,1920,03,143.52,1920-03
279,1920,04,150.49,1920-04
280,1920,05,153.48,1920-05
281,1920,06,155.99,1920-06
282,1920,07,158.2,1920-07
283,1920,08,145.73,1920-08
284,1920,09,140.47,1920-09
285,1920,10,143.68,1920-10
286,1920,11,154.66,1920-11
287,1920,12,162.58,1920-12
288,1921,01,159.14,1921-01
289,1921,02,150.78,1921-02
290,1921,03,157.65,1921-03
291,1921,04,156.17,1921-04
292,1921,05,157.43,1921-05
293,1921,06,160.73,1921-06
294,1921,07,166.15,1921-07
295,1921,08,170.47,1921-08
296,1921,09,173.99,1921-09
297,1921,10,185.82,1921-10
298,1921,11,196.14,1921-11
299,1921,12,187.66,1921-12
300,1922,01,197.65,1922-01
301,1922,02,199.08,1922-02
302,1922,03,195.99,1922-03
303,1922,04,208.26,1922-04
304,1922,05,215.06,1922-05
305,1922,06,209.84,1922-06
306,1922,07,212.4,1922-07
307,1922,08,231.5,1922-08
308,1922,09,242.85,1922-09
309,1922,10,267.66,1922-10
310,1922,11,284.43,1922-11
311,1922,12,308.38,1922-12
312,1923,01,310.89,1923-01
313,1923,02,306.38,1923-02
314,1923,03,314.07,1923-03
315,1923,04,323.79,1923-04
316,1923,05,347.02,1923-05
317,1923,06,370.67,1923-06
318,1923,07,330.94,1923-07
319,1923,08,242.99,1923-08
320,1923,09,244.83,1923-09
321,1923,10,265.76,1923-10
322,1923,11,278.24,1923-11
323,1923,12,280.93,1923-12
324,1924,01,258.82,1924-01
325,1924,02,227.41,1924-02
326,1924,03,231.99,1924-03
327,1924,04,225.56,1924-04
328,1924,05,186.93,1924-05
329,1924,06,177.26,1924-06
330,1924,07,167.14,1924-07
331,1924,08,180.92,1924-08
332,1924,09,177.0,1924-09
333,1924,10,151.12,1924-10
334,1924,11,135.3,1924-11
335,1924,12,144.5,1924-12
336,1925,01,137.82,1925-01
337,1925,02,108.42,1925-02
338,1925,03,106.39,1925-03
339,1925,04,85.28,1925-04
340,1925,05,79.1,1925-05
341,1925,06,82.21,1925-06
342,1925,07,72.15,1925-07
343,1925,08,56.24,1925-08
344,1925,09,47.17,1925-09
345,1925,10,48.59,1925-10
346,1925,11,71.85,1925-11
347,1925,12,67.61,1925-12
348,1926,01,62.41,1926-01
349,1926,02,59.01,1926-02
350,1926,03,61.12,1926-03
351,1926,04,56.5,1926-04
352,1926,05,65.1,1926-05
353,1926,06,84.39,1926-06
354,1926,07,98.56,1926-07
355,1926,08,97.02,1926-08
356,1926,09,100.28,1926-09
357,1926,10,92.92,1926-10
358,1926,11,99.22,1926-11
359,1926,12,99.99,1926-12
360,1927,01,107.02,1927-01
361,1927,02,101.95,1927-02
362,1927,03,101.76,1927-03
363,1927,04,95.42,1927-04
364,1927,05,96.44,1927-05
365,1927,06,90.87,1927-06
366,1927,07,90.81,1927-07
367,1927,08,95.02,1927-08
368,1927,09,101.38,1927-09
369,1927,10,102.86,1927-10
370,1927,11,102.63,1927-11
371,1927,12,100.35,1927-12
372,1928,01,110.57,1928-01
373,1928,02,115.83,1928-02
374,1928,03,121.79,1928-03
375,1928,04,127.16,1928-04
376,1928,05,131.36,1928-05
377,1928,06,140.62,1928-06
378,1928,07,142.64,1928-07
379,1928,08,145.59,1928-08
380,1928,09,153.02,1928-09
381,1928,10,157.63,1928-10
382,1928,11,149.48,1928-11
383,1928,12,154.19,1928-12
384,1929,01,162.3,1929-01
385,1929,02,166.09,1929-02
386,1929,03,170.08,1929-03
387,1929,04,179.1,1929-04
388,1929,05,180.39,1929-05
389,1929,06,183.96,1929-06
390,1929,07,189.64,1929-07
391,1929,08,182.85,1929-08
392,1929,09,173.43,1929-09
393,1929,10,170.66,1929-10
394,1929,11,182.62,1929-11
395,1929,12,175.87,1929-12
396,1930,01,145.36,1930-01
397,1930,02,127.32,1930-02
398,1930,03,125.37,1930-03
399,1930,04,127.24,1930-04
400,1930,05,126.19,1930-05
401,1930,06,111.38,1930-06
402,1930,07,113.76,1930-07
403,1930,08,123.41,1930-08
404,1930,09,140.88,1930-09
405,1930,10,139.28,1930-10
406,1930,11,145.62,1930-11
407,1930,12,151.38,1930-12
408,1931,01,150.79,1931-01
409,1931,02,144.29,1931-02
410,1931,03,146.35,1931-03
411,1931,04,129.86,1931-04
412,1931,05,133.29,1931-05
413,1931,06,135.55,1931-06
414,1931,07,141.53,1931-07
415,1931,08,144.18,1931-08
416,1931,09,152.17,1931-09
417,1931,10,149.44,1931-10
418,1931,11,149.23,1931-11
419,1931,12,146.8,1931-12
420,1932,01,147.04,1932-01
421,1932,02,148.77,1932-02
422,1932,03,124.97,1932-03
423,1932,04,121.67,1932-04
424,1932,05,123.9,1932-05
425,1932,06,129.96,1932-06
426,1932,07,132.52,1932-07
427,1932,08,132.94,1932-08
428,1932,09,131.04,1932-09
429,1932,10,123.77,1932-10
430,1932,11,122.54,1932-11
431,1932,12,118.07,1932-12
432,1933,01,118.0,1933-01
433,1933,02,125.21,1933-02
434,1933,03,127.34,1933-03
435,1933,04,127.34,1933-04
436,1933,05,121.32,1933-05
437,1933,06,114.9,1933-06
438,1933,07,110.29,1933-07
439,1933,08,107.88,1933-08
440,1933,09,101.42,1933-09
441,1933,10,97.12,1933-10
442,1933,11,101.79,1933-11
443,1933,12,105.91,1933-12
444,1934,01,106.06,1934-01
445,1934,02,107.75,1934-02
446,1934,03,114.41,1934-03
447,1934,04,115.53,1934-04
448,1934,05,120.27,1934-05
449,1934,06,127.36,1934-06
450,1934,07,132.47,1934-07
451,1934,08,135.43,1934-08
452,1934,09,140.45,1934-09
453,1934,10,143.14,1934-10
454,1934,11,136.41,1934-11
455,1934,12,138.9,1934-12
456,1935,01,135.98,1935-01
457,1935,02,133.32,1935-02
458,1935,03,137.3,1935-03
459,1935,04,136.23,1935-04
460,1935,05,139.27,1935-05
461,1935,06,137.42,1935-06
462,1935,07,143.41,1935-07
463,1935,08,148.28,1935-08
