,1,2,3,4,5,6,7,8,9,10,11,12
1940,147.5961538,147.2826087,147.136,148.9192308,130.7653846,119.48,122.2307692,125.3296296,131.4583333,132.4038462,133.9,130.448
1941,130.1692308,121.6909091,122.5346154,119.112,116.4384615,121.576,127.5807692,126.6807692,127.348,121.8038462,116.9090909,110.6846154
1942,111.1192308,107.2863636,101.6230769,97.804,98.424,103.7576923,106.9461538,106.0961538,107.416,113.5076923,115.3181818,117.1653846
1943,121.54,127.4090909,131.1481481,134.132,138.608,141.2538462,142.9076923,136.3384615,138.9,138.256,132.6826087,134.5730769
1944,137.756,135.9782609,139.0666667,137.1958333,139.2269231,145.4576923,148.368,146.736,145.2083333,147.684,146.873913,150.34
1945,153.9615385,157.1363636,157.2307692,160.4708333,165.5769231,167.3307692,163.9190476,166.1666667,177.9608696,185.075,190.2217391,192.7416667
1946,199.0038462,199.4142857,194.3807692,205.804,206.64,207.325,202.2772727,199.45,172.735,169.4807692,168.9391304,174.392
1947,176.1076923,181.5409091,176.6769231,171.276,168.688,173.7619048,183.5272727,180.0809524,176.8142857,181.9192308,181.4454545,179.1769231
1948,176.264,168.6507407,169.9461538,180.0615385,186.3875,191.0636364,187.0666667,181.7727273,180.3380952,185.188,176.6043478,176.3153846
1949,179.748,174.4545455,175.8814815,175.652,174.025,165.6,173.34,179.2478261,180.9190476,186.472,191.6086957,196.78
1950,199.752,203.4590909,206.3,212.6708333,219.3615385,221.0181818,205.31,216.6086957,223.2,229.1916129,229.3782609,229.2541667
1951,244.45,253.3227273,249.4961538,253.364,254.3615385,249.3190476,253.6095238,264.9304348,273.3684211,269.7346154,259.6130435,266.084
1952,271.7192308,265.2,264.4961538,262.552,261.616,268.3857143,276.05,276.7,272.4142857,267.7772727,276.3764706,285.9636364
1953,288.452381,283.9611111,286.7909091,275.2857143,276.8428571,266.8863636,270.326087,272.2047619,261.9047619,270.7190476,277.0944444,281.1545455
1954,286.64,292.1315789,299.1565217,310.8495455,322.85,327.9136364,341.2714286,346.0636364,352.7142857,358.2904762,375.705,393.8409091
1955,398.4333333,410.2578947,408.9086957,423,421.6781818,440.8318182,462.165,457.3130435,476.4380952,452.652381,476.595,484.5809524
1956,474.747619,475.53,502.6666667,511.047619,495.2090909,485.3333333,509.752381,511.6913043,495.0263158,483.8130435,479.355,492.0157895
1957,485.9,466.8315789,472.7666667,485.4238095,500.8272727,505.285,514.6454545,487.9727273,471.795,443.3782609,436.7263158,436.9619048
1958,445.6863636,444.16,450.152381,446.9142857,460.0428571,471.9761905,488.2954545,507.547619,521.8095238,539.8478261,557.1111111,566.4428571
1959,592.3,590.7157895,609.1333333,616.9954545,630.8047619,631.5181818,662.8136364,660.5761905,635.4904762,637.35,646.4315789,671.3636364
1960,655.39,624.89,614.7043478,619.975,615.6333333,644.3909091,625.83,624.473913,598.1047619,582.4666667,601.135,609.5428571
1961,632.2047619,650.0157895,670.5681818,684.895,693.0333333,691.4590909,690.67,718.6391304,711.02,703.0136364,724.735,728.435
1962,705.15,711.9526316,714.2,690.285,643.7090909,572.652381,581.7904762,602.5043478,597.0210526,580.6695652,628.83,648.38
1963,672.1,679.7421053,674.6285714,707.1238095,720.8409091,719.145,700.75,714.1590909,738.525,747.5304348,743.2444444,759.9571429
1964,777.0681818,793.0210526,812.1857143,820.9590909,823.13,817.6454545,844.2545455,835.3095238,863.552381,875.2681818,880.0315789,866.7318182
1965,889.91,894.4210526,896.4521739,907.7190476,927.495,878.0727273,873.4428571,887.7090909,922.1952381,944.7809524,953.31,955.2045455
1966,985.9285714,977.1526316,926.4347826,943.455,890.7095238,888.8318182,875.885,817.5478261,791.6619048,778.1142857,806.56,800.8761905
1967,830.552381,851.1210526,858.1227273,868.66,883.7409091,872.6636364,888.505,912.4782609,923.455,907.5454545,865.435,887.2
1968,884.7772727,847.2,834.7571429,893.38,905.2318182,906.8235294,905.3294118,883.7277778,922.8235294,955.4777778,964.1294118,968.3888889
1969,934.9954545,931.3055556,916.515,927.3761905,954.8761905,896.6190476,844.0190476,825.4619048,826.7190476,832.5173913,841.1,789.2272727
1970,782.9333333,756.2157895,777.6333333,771.6545455,691.9666667,699.3,712.8090909,731.9809524,759.3857143,763.7363636,769.275,821.5136364
1971,849.04,879.6947368,901.2869565,932.5428571,925.505,900.4454545,887.8095238,875.4136364,901.2238095,872.147619,822.1095238,869.9181818
1972,904.652381,914.37,939.2318182,958.165,948.2227273,943.4363636,925.94,958.3565217,950.595,944.1045455,1001.195,1020.321053
1973,1026.82381,974.0473684,957.3590909,944.115,922.4090909,893.9,903.6095238,883.7347826,909.9894737,967.626087,878.9904762,824.08
1974,857.25,831.3263158,874.0095238,847.7857143,830.2636364,831.45,783.0090909,729.3,651.29,638.6217391,642.11,596.4952381
1975,659.0909091,724.8947368,765.06,790.9363636,836.552381,845.7,856.2909091,815.5238095,818.2857143,831.273913,845.5157895,840.7954545
1976,929.3428571,971.7157895,988.5521739,992.5190476,988.82,985.5954545,993.2,981.6272727,994.3761905,951.9619048,944.575,976.8681818
1977,970.6333333,941.7526316,946.1,929.115,926.3,916.5727273,908.2052632,872.2652174,853.3666667,823.9619048,828.5190476,818.8
1978,781.0761905,763.5842105,756.3727273,794.66,838.5636364,840.2545455,831.72,887.9347826,878.64,857.7045455,804.2952381,807.96
1979,837.3863636,825.1789474,847.8545455,864.965,837.4136364,837.8863636,836.9571429,873.5521739,878.5052632,840.5217391,815.7857143,836.14
1980,860.7545455,878.215,803.5714286,786.347619,828.2,869.8619048,909.7863636,947.3285714,946.6761905,949.1695652,971.0888889,945.9681818
1981,962.1428571,945.5105263,987.1818182,1004.857143,979.525,996.2727273,947.95,926.2619048,853.3857143,853.2590909,860.43,878.2863636
1982,853.415,833.1578947,812.3434783,844.9285714,846.735,804.3727273,818.4095238,832.1136364,917.2714286,988.7285714,1027.761905,1033.095455
1983,1064.309524,1087.4,1129.578261,1168.43,1212.861905,1221.468182,1213.935,1189.221739,1237.038095,1252.204762,1250,1257.647619
1984,1258.890476,1164.45,1161.977273,1152.72,1143.422727,1121.138095,1113.285714,1212.821739,1213.515789,1199.3,1211.309524,1188.96
1985,1238.163636,1283.226316,1268.842857,1266.37619,1279.409091,1314,1343.172727,1326.186364,1317.947368,1351.578261,1432.885,1517.019048
1986,1534.85,1652.736842,1757.36,1807.059091,1801.809524,1867.709524,1809.918182,1843.452381,1813.480952,1817.056522,1883.652632,1924.086364
1987,2065.128571,2202.342105,2292.613636,2302.657143,2291.12,2384.018182,2481.727273,2655.02381,2570.809524,2224.581818,1931.875,1910.072727
1988,1947.345,1980.65,2044.317391,2036.135,1988.914286,2104.95,2104.23,2051.282609,2080.066667,2144.333333,2099.038095,2148.590476
1989,2234.67619,2304.305263,2283.1,2348.92,2439.568182,2494.890909,2554.04,2691.117391,2693.41,2692.009091,2642.5,2728.465
1990,2679.236364,2614.189474,2700.131818,2708.27,2793.822727,2894.838095,2934.228571,2681.891304,2550.694737,2460.53913,2518.580952,2610.92
1991,2587.604545,2863.047368,2920.12,2925.554545,2928.427273,2968.14,2978.186364,3006.090909,3010.355,3019.73913,2986.125,2958.657143
1992,3227.059091,3257.273684,3247.422727,3294.095238,3376.785,3337.790909,3329.409091,3307.457143,3293.928571,3198.7,3238.49,3303.154545
1993,3277.73,3367.257895,3440.734783,3423.62381,3478.175,3513.813636,3529.438095,3597.031818,3592.290476,3625.809524,3674.709524,3744.104545
1994,3868.366667,3905.621053,3816.991304,3661.489474,3707.995238,3737.581818,3718.305,3797.482609,3880.6,3868.1,3792.442857,3770.304762
1995,3872.461905,3953.726316,4062.782609,4230.668421,4391.577273,4510.772727,4684.775,4639.273913,4746.755,4760.477273,4935.82381,5136.105
